"id";"usuario_id";"prefijo";"pais";"flag";"descripcion";"llamadas";"segundos";"llamadas_cuenta";"segundos_cuenta";"llamadas_actual";"segundos_actual";"t1";"t2";"t3";"t4";"estado";"accion"
"4848";"3";"370";"LT";"flag-lt";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4847";"3";"359";"BG";"flag-bg";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4846";"3";"358";"FI";"flag-fi";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4845";"3";"357";"CY";"flag-cy";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4844";"3";"356";"MT";"flag-mt";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4843";"3";"355";"AL";"flag-al";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4842";"3";"354";"IS";"flag-is";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4841";"3";"353";"IE";"flag-ie";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4840";"3";"352";"LU";"flag-lu";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4839";"3";"351";"PT";"flag-pt";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4838";"3";"350";"GI";"flag-gi";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4837";"3";"299";"GL";"flag-gl";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4836";"3";"298";"AR";"flag-ar";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4835";"3";"297";"AW";"flag-aw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4834";"3";"291";"ER";"flag-er
";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4833";"3";"290";"ZA";"flag-za";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4832";"3";"269";"KM";"flag-km";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4831";"3";"268";"SZ";"flag-sz";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4830";"3";"267";"BW";"flag-bw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4829";"3";"266";"LS";"flag-ls";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4828";"3";"265";"MW";"flag-mw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4827";"3";"264";"NA";"flag-na";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4826";"3";"263";"ZW";"flag-zw";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4825";"3";"262";"RE";"flag-re";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4824";"3";"261";"MG";"flag-mg";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4823";"3";"260";"ZB";"flag-zb";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
